budget,id,popularity,revenue,runtime,vote_average,vote_count
0,10588,18.251129,0,82.0,4.9,366
120000000,2048,95.914473,347234916,115.0,6.7,3793
130000000,1495,44.490453,211643158,144.0,6.6,1157
133000000,10137,30.475297,300135367,84.0,5.8,959
105000000,10198,62.479574,267045765,97.0,6.7,1247
108000000,286217,167.93287,630161890,141.0,7.6,7268
126000000,1635,37.68056,162949164,136.0,6.5,1770
90000000,24113,1.004579,10372291,104.0,3.7,16
90000000,9679,52.995628,237202299,118.0,6.1,1485
103000000,98,95.301296,457640427,155.0,7.9,5439
102000000,180,65.948959,358372926,145.0,7.1,2608
100000000,672,132.397737,876688482,161.0,7.4,5815
150000000,36557,88.935165,599045960,144.0,7.3,3855
100000000,869,51.188633,362211740,119.0,5.6,1243
100000000,280,101.74155,520000000,137.0,7.7,4185
80000000,11322,33.691694,214104620,140.0,6.5,1344
100000000,4982,42.361215,266465037,157.0,7.4,1502
115000000,36955,38.729418,378882411,141.0,6.8,1116
100000000,18487,40.597856,150166126,106.0,6.2,954
100000000,39451,32.389353,310650585,98.0,5.4,1060
100000000,27581,24.399642,170432927,107.0,6.1,1383
100000000,9268,24.507987,242295562,115.0,5.6,543
100000000,68718,82.121691,425368238,165.0,7.8,10099
100000000,10545,46.727941,100138851,91.0,6.8,1129
100000000,11688,51.113717,169327687,78.0,7.2,1490
100000000,76163,53.732892,312573423,103.0,6.1,2896
100000000,2059,58.849256,347451894,131.0,6.4,1926
100000000,2486,30.863434,249288105,104.0,4.9,967
100000000,16523,31.586215,100086793,101.0,6.4,572
100000000,116711,36.711378,268426634,102.0,6.4,1121
100000000,37710,41.426678,278731369,103.0,6.0,1699
100000000,9946,20.652943,211989043,121.0,5.5,482
100000000,1372,52.792678,170877916,143.0,7.3,2281
100000000,106646,95.007934,392000694,180.0,7.9,6571
100000000,414,48.205606,336529144,121.0,5.2,1498
105000000,563,58.782359,121214377,129.0,6.7,1560
102000000,83542,73.872343,130482868,172.0,6.6,2977
80000000,41216,37.321848,140073390,97.0,6.5,703
100000000,314,32.271938,82102379,104.0,4.2,808
100000000,184315,76.842247,243400000,99.0,5.6,1680
140000000,9016,38.924136,109578115,95.0,7.2,948
100000000,18162,19.38841,68688831,102.0,5.3,381
90000000,138103,61.025639,206172544,127.0,6.1,1795
105000000,257088,33.507289,133718711,114.0,5.5,783
84000000,10214,17.815595,0,94.0,3.6,338
100000000,205775,50.767332,93820758,122.0,6.5,1276
100000000,11692,12.092241,7103973,95.0,4.4,142
100000000,22972,30.254021,94882889,115.0,6.4,717
99000000,227973,34.308098,246233113,88.0,6.5,604
10000000,29193,3.091077,13835130,110.0,7.1,73
98000000,1734,41.862983,433013274,130.0,6.0,2206
100000000,3131,46.160048,193772504,167.0,7.1,1910
94000000,76758,12.516546,95311434,145.0,7.1,187
85000000,9408,23.230851,149044513,85.0,5.9,601
90000000,9890,19.224754,102000000,93.0,5.4,334
92000000,855,44.455166,172989651,144.0,7.2,1811
0,77953,16.460356,104907746,85.0,5.6,578
90000000,18,109.528572,263920180,126.0,7.3,3885
100000000,37786,18.325897,288347692,146.0,5.4,426
95000000,10501,37.054554,76432727,89.0,7.0,858
95000000,57800,65.229868,877244782,88.0,6.2,2672
95000000,150689,101.187052,543514353,105.0,6.7,2374
65000000,7980,29.257137,93525586,136.0,6.6,1065
94000000,12,85.688789,940335536,100.0,7.6,6122
94000000,122,123.630332,1118888979,201.0,8.1,8064
79000000,121,106.914973,926287400,179.0,8.0,7487
95000000,68737,63.628459,114178613,102.0,5.2,957
115000000,1995,41.498631,274703340,100.0,5.7,2192
100000000,157353,58.991388,103039258,119.0,5.9,2295
93000000,331,1.859364,368780809,92.0,5.7,2077
93000000,61791,138.433168,482860185,105.0,7.0,4347
90000000,8204,21.436682,162839667,95.0,6.3,572
92000000,47964,65.402595,304654182,98.0,5.2,3493
145000000,10733,10.660441,25819961,137.0,5.8,106
92000000,9806,77.817571,631442092,115.0,7.4,5152
98000000,1408,7.029308,10017322,119.0,5.7,136
95000000,32657,61.121717,226497209,118.0,6.0,2010
90000000,607,104.121555,589390539,98.0,6.9,4412
90000000,863,73.575118,497366869,92.0,7.3,3806
100000000,44048,37.698465,167805466,98.0,6.3,1165
90000000,5175,35.814765,347325802,90.0,6.4,1054
100000000,2655,15.835672,155464351,130.0,6.3,488
100000000,22794,46.781182,242988466,90.0,6.5,1747
90000000,8355,69.457898,886686817,94.0,6.5,2271
90000000,116745,43.348022,188133322,114.0,7.0,3144
92000000,4327,40.20395,264105545,98.0,5.6,1232
90000000,1422,63.429157,289847354,151.0,7.9,4339
90000000,10674,67.427755,304320254,88.0,7.6,2008
92000000,7446,43.192048,188072649,107.0,6.5,1667
90000000,65754,47.651083,232617430,158.0,7.2,2434
90000000,1572,51.881077,366101666,128.0,6.9,2066
90000000,10528,57.834787,524028679,128.0,7.0,5766
100000000,271969,29.608322,94061311,125.0,5.3,621
120000000,10865,51.548589,186053725,95.0,6.7,1224
0,258509,27.867368,233755553,92.0,5.8,428
75000000,2253,38.832842,200276000,121.0,6.7,1173
90000000,10661,40.597344,201596308,113.0,5.5,1048
88000000,257344,140.849495,243637091,105.0,5.6,2513
100000000,644,34.035114,235926552,146.0,6.8,1974
90000000,10756,16.302378,182290266,99.0,5.2,466
90000000,686,55.249434,171120329,150.0,7.2,1308
95000000,9383,28.200874,190213455,112.0,5.6,634
80000000,179,18.69984,162944923,128.0,6.2,392
90000000,76285,40.262261,174578751,106.0,5.9,1648
95000000,1996,56.811056,156505388,117.0,5.5,1418
